name,class,dmg at lev,hitsToKill,floor,attack,defense,health,picture,ability,resistances,experience,treasureChance,treasurePackage,keywords,stunResistance,unitType,knockbackResistance,walkSpeed,listenRad,alertedListenRad,preferredRange,activateRange,chargeDist
FireElemental,Hrd,26,2.2222222222,2,230,220,40,FireElemental,PROJECTILE -pic RedSlimeShot -cooldown 80 -speed 2 -damage 2 -damageType 5_FIREBALL -pic FireballExplosion -cooldown 300 -damage 25 -isSpell True -damageType 5,0_0_0_0.1_0_1_-1_0_-0.2_0.4,100,0.7,F1HardEnemy,-:0,0.2,5,0.2,2,90,200,190,230,80
Serpent,Boss,30,7.3333333333,2,250,250,110,Serpent,PROJECTILE -pic GreenSlimeShot -cooldown 20 -range 300 -animationTime 10 -speed 3 -damageType 9_MULTISHOT -pic GreenSlimeShot -range 300 -animationTime 20 -cooldown 50 -speed 1 -damageType 9 -shots 10_FIREBALL -pic FireballExplosion -cooldown 200 -animationTime 40 -damage 25 -damageType 5,0_0_0_0_0_0_0_0_0_0,300,1,F1Boss,WaterWalking:0.3,0.7,1,0.5,1.5,300,500,190,230,130
DEFAULT,10,3,1,100,100,30,NoPic,0_0_0_0_0_0_0_0_0_0,100,1,F1LotsGold,-:0,0,2,90,200,190,230,80,,,,
DEFAULT,Damage Types,,,,,,,,,,,,,,,,,,,,,,
DEFAULT,0 – UNTYPED,,,,,,,,,,,,,,,,,,,,,,
DEFAULT,1 – SLASH,,,,,,,,,,,,,,,,,,,,,,
DEFAULT,2 – PIERCE,,,,,,,,,,,,,,,,,,,,,,
DEFAULT,3 – BASH,,,,,,,,,,,,,,,,,,,,,,
DEFAULT,4 – ENERGY,,,,,,,,,,,,,,,,,,,,,,
DEFAULT,damAtLv,F2/5-E2*10,5 – FIRE,number,enemyTypes,,,,,,,,,,,,,,,,,,
DEFAULT,hitsToKill,H2/(E2*20-G2/10),6 – ICE,0,UNKNOWN,,,,,,,,,,,,,,,,,,
DEFAULT,Swarm,7,7 – LIGHT,1,ANIMAL,,,,,,,,,,,,,,,,,,
DEFAULT,Esy,30,8 – DARK,2,SLIME,,,,,,,,,,,,,,,,,,
DEFAULT,Med,40,9 – POISON,3,UNDEAD,,,,,,,,,,,,,,,,,,
DEFAULT,Hrd,80,4,HUMANOID,,,,,,,,,,,,,,,,,,,
DEFAULT,5,ELEMENTAL,,,,,,,,,,,,,,,,,,,,,
DEFAULT,,,,,,,,,,,,,,,,,,,,,,,
DEFAULT,,,,,,,,,,,,,,,,,,,,,,,
